,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
51,67,c1ccc2cc3c(ccc4ccccc43)cc2c1,56-55-3,Benz(a)anthracene,0.000863,0.00029,0.00164,0,0.81966037
52,68,c1ccc2cc3ccccc3cc2c1,120-12-7,Anthracene,0.0014,0.000469,0.00266,0,0.7987355
53,69,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,81-14-1,Musk ketone,0.00198,0.000666,0.00377,0,0.96084374
54,70,CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,13171-00-1,Celestolide,0.000483,0.000162,0.000917,0,0.8641738
55,71,CC(C)(NC(=O)C(Br)C(C)(C)C)c1ccccc1,74712-19-9,Bromobutide,0.000652,0.000219,0.00124,0,0.89029604
56,72,CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,719-22-2,"2,6-Di-tert-butyl-4-benzoquinone",0.000385,0.000129,0.00073,0,0.8953965
57,73,CC(C)(C)c1ccc(OP(=O)(Oc2ccc(C(C)(C)C)cc2)Oc2ccc(C(C)(C)C)cc2)cc1,78-33-1,Tris(4-tert-butylphenyl) phosphate,0.000402,0.000135,0.000763,0,0.8254183
58,74,CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccc(C(C)(C)C)cc2)cc1,115-87-7,Bis(4-tert-butylphenyl) phenyl phosphate,0.00556,0.00187,0.0106,0,0.9295392
59,75,CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,56803-37-3,4-tert-butylphenyl diphenyl phosphate,0.00678,0.00227,0.0129,0,0.9535533
60,76,CC(C)(C)CC(C)(C)c1ccccc1O,3884-95-5,Tert-Octylphenol,0.000886,0.000297,0.00168,0,0.8943914
61,77,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)B,79-94-7,Tetrabromobisphenol A,0.00154,0.000516,0.00292,0,0.9196503
62,78,CC(C)(c1ccc(O)cc1)c1ccc(C(C)(C)c2ccc(O)cc2)cc1,2167-51-3,Bisphenol P,1.19e-05,3.98e-06,2.25e-05,0,0.8659559
63,79,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,80-05-7,Bisphenol A,0.0248,0.00831,0.0471,0,0.83822674
64,80,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1675-54-3,Bisphenol A diglycidyl ether,0.0119,0.004,0.0227,0,0.83822674
65,81,CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,66230-04-4,Esfenvalerate,0.000471,0.000158,0.000894,0,0.820898
66,82,CC(=O)c1cc2c(cc1C)C(C)(C)[C@H](C)[C@H]2C(C)C,68140-48-7,Traseolide,0.00215,0.000721,0.00408,0,0.8906358
67,83,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,2216-51-5,L-menthol,0.000401,0.000135,0.000762,0,0.81167835
68,84,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,584-79-2,Allethrin,0.00455,0.00153,0.00864,0,0.8164656
69,85,C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O,72963-72-5,Imiprothrin,0.005,0.00168,0.00949,0,0.9249365
70,86,Cc1ccccc1COC1CC2(C(C)C)CCC1(C)O2,87818-31-3,Cinmethylin,0.000201,6.73e-05,0.000381,0,0.8672519
71,87,Cc1ccc(C(C)C)cc1,99-87-6,4-Cymene,0.00015,5.05e-05,0.000286,0,0.9458187
