canonical_smiles,label_ACE2,DataType
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,1.0,L1000
Cc1ccccc1N=C(N)Nc1ccccc1C,1.0,L1000
CCCCS(=N)(=O)CCC(N)C(=O)O,1.0,L1000
COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1,1.0,L1000
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1.0,L1000
CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1.0,L1000
COc1cc2c3c([nH]c2cc1F)C(=O)NCC3,1.0,L1000
C=CC(C)(O)CC=CC(C)C(=O)O[C@@H]1C(C)O[C@@H](O[C@](C)(C=C)CC=CC(CO)C(=O)O[C@H]2C[C@@]3(C(=O)O[C@@H]4OC(CO)[C@@H](O)[C@@H](O)[C@@H]4O[C@@H]4OC(C)[C@H](O[C@@H]5O[C@@H](CO)[C@H](O)[C@@H]5O)[C@@H](O[C@@H]5OC(CO)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H]4O)C(CC2(C)C)C2=CCC4[C@@]5(C)CC[C@H](O[C@@H]6OC(CO[C@@H]7OC(C)[C@H](O)[C@@H](O)[C@@H]7O[C@@H]7OC[C@@H](O)[C@@H](O)[C@@H]7O)[C@@H](O)[C@@H](O)[C@@H]6NC(C)=O)C(C)(C)C5CC[C@@]4(C)[C@]2(C)C[C@H]3O)[C@@H](O)[C@@H]1O,1.0,L1000
COC1=CC(C)=Cc2c(O)c(cc(O)c2OC)NC(=O)C(C)CC=CC(OC)C(OC(N)=O)/C(C)=C/C(C)C1O,1.0,L1000
N=c1c(C(=O)O)c2[nH]c3c(C(=O)O)cccc3oc-2cc1=O,1.0,Tox
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(C(=O)OC)C5(CC)C=CCN6CCC43C65)C2)C1,1.0,L1000
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,1.0,L1000
Cc1cccc(C)c1-n1nnnc1SCc1nc(=N)nc(N(C)C)[nH]1,1.0,L1000
Cc1ccc2[nH]c(=NCCN)c3ncc(C)n3c2c1,1.0,L1000
CO[C@H]1CN(C)C(=O)c2ccc(NC(C)=O)cc2OC[C@H](C)N(Cc2ccccc2F)C[C@H]1C,1.0,L1000
